,Year,Date,RoundID,Stage,MatchID,Country,City,Stadium,Home_Team_Name,Home_Team_Initials,Half_Time_Home_Goals,Home_Team_Goals,Away_Team_Name,Away_Team_Initials,Half_Time_Away_Goals,Away_Team_Goals,Half_Time_Goals,Goals,Outcome_Of_The_Match,Win_Conditions,Attendance,Referee,Assistant_1,Assistant_2
232,1974.0,13 Jun 1974,262.0,Group 2,1986.0,Brazil,Frankfurt/Main ,Waldstadion,Brazil,BRA,0.0,0.0,Yugoslavia,YUG,0.0,0.0,0.0,0.0,DRAW, ,62000.0,SCHEURER Ruedi (SUI),LORAUX Vital (BEL),PESTARINO Luis (ARG)
233,1974.0,14 Jun 1974,262.0,Group 1,2003.0,Germany FR,Berlin West ,Olympiastadion,Germany FR,FRG,1.0,1.0,Chile,CHI,0.0,0.0,1.0,1.0,Home_Team_Win, ,81100.0,BABACAN Dogan (TUR),TAYLOR John (ENG),WINSEMANN Werner (CAN)
234,1974.0,14 Jun 1974,262.0,Group 1,1955.0,German DR,Hamburg ,Volksparkstadion,German DR,GDR,0.0,2.0,Australia,AUS,0.0,0.0,0.0,2.0,Home_Team_Win, ,17000.0,NDIAYE Youssou (SEN),SANCHEZ IBANEZ Pablo (ESP),DELGADO Omar (COL)
235,1974.0,14 Jun 1974,262.0,Group 2,2176.0,Zaire,Dortmund ,Westfalenstadion,Zaire,ZAI,0.0,0.0,Scotland,SCO,2.0,2.0,2.0,2.0,Away_Team_Win, ,27000.0,SCHULENBURG Gerhard (GER),BOSKOVIC Tony (AUS),WEYLAND Hans Joachim (FRG)
236,1974.0,15 Jun 1974,262.0,Group 3,2098.0,Uruguay,Hanover ,Niedersachsenstadion,Uruguay,URU,0.0,0.0,Netherlands,NED,1.0,2.0,1.0,2.0,Away_Team_Win, ,55100.0,PALOTAI Karoly (HUN),KAZAKOV Pavel (URS),RAINEA Nicolae (ROU)
237,1974.0,15 Jun 1974,262.0,Group 3,1995.0,Sweden,D�Sseldorf ,Rheinstadion,Sweden,SWE,0.0,0.0,Bulgaria,BUL,0.0,0.0,0.0,0.0,DRAW, ,23800.0,PEREZ NUNEZ Edison A. (PER),GONZALEZ ARCHUNDIA Alfonso (MEX),SUPPIAH George (SIN)
238,1974.0,15 Jun 1974,262.0,Group 4,2083.0,Italy,Munich ,Olympiastadion,Italy,ITA,0.0,3.0,Haiti,HAI,0.0,1.0,0.0,4.0,Home_Team_Win, ,53000.0,LLOBREGAT Vicente (VEN),NAMDAR Jafar (IRN),MARQUES Armando (BRA)
239,1974.0,15 Jun 1974,262.0,Group 4,1952.0,Poland,Stuttgart ,Neckarstadion,Poland,POL,2.0,3.0,Argentina,ARG,0.0,2.0,2.0,5.0,Home_Team_Win, ,32700.0,THOMAS Clive (WAL),ALDINGER Heinz (GER),DAVIDSON Bob (SCO)
240,1974.0,18 Jun 1974,262.0,Group 1,1954.0,Australia,Hamburg ,Volksparkstadion,Australia,AUS,0.0,0.0,Germany FR,FRG,2.0,3.0,2.0,3.0,Away_Team_Win, ,53300.0,KAMEL Mahmoud (EGY),GONZALEZ ARCHUNDIA Alfonso (MEX),PEREZ NUNEZ Edison A. (PER)
241,1974.0,18 Jun 1974,262.0,Group 2,1985.0,Scotland,Frankfurt/Main ,Waldstadion,Scotland,SCO,0.0,0.0,Brazil,BRA,0.0,0.0,0.0,0.0,DRAW, ,62000.0,VAN GEMERT Arie (NED),PALOTAI Karoly (HUN),LINEMAYR Erich (AUT)
242,1974.0,18 Jun 1974,262.0,Group 1,2004.0,Chile,Berlin West ,Olympiastadion,Chile,CHI,0.0,1.0,German DR,GDR,0.0,1.0,0.0,2.0,DRAW, ,28300.0,ANGONESE Aurelio (ITA),SCHEURER Ruedi (SUI),DAVIDSON Bob (SCO)
243,1974.0,18 Jun 1974,262.0,Group 2,2186.0,Yugoslavia,Gelsenkirchen ,Parkstadion,Yugoslavia,YUG,6.0,9.0,Zaire,ZAI,0.0,0.0,6.0,9.0,Home_Team_Win, ,31700.0,DELGADO Omar (COL),LLOBREGAT Vicente (VEN),BARRETO RUIZ Ramon (URU)
244,1974.0,19 Jun 1974,262.0,Group 3,2097.0,Netherlands,Dortmund ,Westfalenstadion,Netherlands,NED,0.0,0.0,Sweden,SWE,0.0,0.0,0.0,0.0,DRAW, ,53700.0,WINSEMANN Werner (CAN),TSCHENSCHER Kurt (GER),THOMAS Clive (WAL)
245,1974.0,19 Jun 1974,262.0,Group 3,1996.0,Bulgaria,Hanover ,Niedersachsenstadion,Bulgaria,BUL,0.0,1.0,Uruguay,URU,0.0,1.0,0.0,2.0,DRAW, ,13400.0,TAYLOR John (ENG),BABACAN Dogan (TUR),OHMSEN Klaus (GER)
246,1974.0,19 Jun 1974,262.0,Group 4,2085.0,Haiti,Munich ,Olympiastadion,Haiti,HAI,0.0,0.0,Poland,POL,5.0,7.0,5.0,7.0,Away_Team_Win, ,25300.0,SUPPIAH George (SIN),BIWERSI Ferdinand (GER),ESCHWEILER Walter (GER)
247,1974.0,19 Jun 1974,262.0,Group 4,1949.0,Argentina,Stuttgart ,Neckarstadion,Argentina,ARG,1.0,1.0,Italy,ITA,1.0,1.0,2.0,2.0,DRAW, ,70100.0,KAZAKOV Pavel (URS),GLOECKNER Rudolf (GDR),RAINEA Nicolae (ROU)
248,1974.0,22 Jun 1974,262.0,Group 2,2175.0,Scotland,Frankfurt/Main ,Waldstadion,Scotland,SCO,0.0,1.0,Yugoslavia,YUG,0.0,1.0,0.0,2.0,DRAW, ,56000.0,GONZALEZ ARCHUNDIA Alfonso (MEX),GLOECKNER Rudolf (GDR),TSCHENSCHER Kurt (GER)
249,1974.0,22 Jun 1974,262.0,Group 1,1953.0,Australia,Berlin West ,Olympiastadion,Australia,AUS,0.0,0.0,Chile,CHI,0.0,0.0,0.0,0.0,DRAW, ,17400.0,NAMDAR Jafar (IRN),LORAUX Vital (BEL),VAN GEMERT Arie (NED)
250,1974.0,22 Jun 1974,262.0,Group 2,1987.0,Zaire,Gelsenkirchen ,Parkstadion,Zaire,ZAI,0.0,0.0,Brazil,BRA,1.0,3.0,1.0,3.0,Away_Team_Win, ,36200.0,RAINEA Nicolae (ROU),ANGONESE Aurelio (ITA),OHMSEN Klaus (GER)
251,1974.0,22 June 197,262.0,Group 1,2062.0,German DR,Hamburg ,Volksparkstadion,German DR,GDR,0.0,1.0,Germany FR,FRG,0.0,0.0,0.0,1.0,Home_Team_Win, ,60200.0,BARRETO RUIZ Ramon (URU),MARQUES Armando (BRA),PESTARINO Luis (ARG)
252,1974.0,23 Jun 1974,262.0,Group 3,1990.0,Bulgaria,Dortmund ,Westfalenstadion,Bulgaria,BUL,0.0,1.0,Netherlands,NED,2.0,4.0,2.0,5.0,Away_Team_Win, ,53300.0,BOSKOVIC Tony (AUS),BIWERSI Ferdinand (GER),ESCHWEILER Walter (GER)
253,1974.0,23 Jun 1974,262.0,Group 4,1947.0,Argentina,Munich ,Olympiastadion,Argentina,ARG,2.0,4.0,Haiti,HAI,0.0,1.0,2.0,5.0,Home_Team_Win, ,25900.0,SANCHEZ IBANEZ Pablo (ESP),KAMEL Mahmoud (EGY),NDIAYE Birame (SEN)
254,1974.0,23 Jun 1974,262.0,Group 3,2181.0,Sweden,D�Sseldorf ,Rheinstadion,Sweden,SWE,0.0,3.0,Uruguay,URU,0.0,0.0,0.0,3.0,Home_Team_Win, ,28300.0,LINEMAYR Erich (AUT),LLOBREGAT Vicente (VEN),ALDINGER Heinz (GER)
255,1974.0,23 Jun 1974,262.0,Group 4,2129.0,Poland,Stuttgart ,Neckarstadion,Poland,POL,2.0,2.0,Italy,ITA,0.0,1.0,2.0,3.0,Home_Team_Win, ,70100.0,WEYLAND Hans Joachim (FRG),WINSEMANN Werner (CAN),SCHULENBURG Gerhard (GER)
